"subject","gender","age","avatar","avatarIsCat"
"B533","Male",51,"cat",TRUE
"B725","Male",51,"cat",TRUE
"C798","Male",51,"cat",TRUE
"D1353","Male",51,"cat",TRUE
"A309","Female",52,"cat",TRUE
"B718","Female",52,"cat",TRUE
"D1258","Female",52,"cat",TRUE
"D1315","Female",52,"cat",TRUE
"D1341","Female",52,"cat",TRUE
"E1526","Female",52,"cat",TRUE
"E1879","Female",52,"cat",TRUE
"E1884","Female",52,"cat",TRUE
"E1583","Male",52,"cat",TRUE
"E1700","Male",52,"cat",TRUE
"D1316","Female",53,"cat",TRUE
"D1346","Female",53,"cat",TRUE
"E1772","Female",53,"cat",TRUE
"A298","Male",53,"cat",TRUE
"A81","Female",54,"cat",TRUE
"C871","Female",54,"cat",TRUE
"C906","Female",54,"cat",TRUE
"E1536","Female",54,"cat",TRUE
"E1672","Female",54,"cat",TRUE
"E1857","Female",54,"cat",TRUE
"C853","Male",54,"cat",TRUE
"D1172","Male",54,"cat",TRUE
"B403","Female",55,"cat",TRUE
"B738","Female",55,"cat",TRUE
"C1077","Female",55,"cat",TRUE
"C855","Female",55,"cat",TRUE
