"participant","trialNumber","cue","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","partic.gender","phase","partic.age"
"s1002",47,"spatial",TRUE,TRUE,"toswan","male","chair_large","tos","chair_dimin","toswan","tosrul","toswan","Female","test",54
"s1002",48,"spatial",FALSE,TRUE,"rikrul","male_side","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikwan","Female","test",54
"s1003",1,"spatial",TRUE,FALSE,"fiswan","female","chair_large","fis","chair_dimin","fiswan","fispel","fiswan","Female","test",27
"s1003",2,"spatial",FALSE,TRUE,"rikpel","male_side","bear_large_male","rik","bear_dimin","rikwan","rikpel","rikwan","Female","test",27
"s1003",3,"spatial",TRUE,FALSE,"wunpel","male_side","gate_large","wun","gate_dimin","wunwan","wunpel","wunpel","Female","test",27
"s1003",4,"spatial",TRUE,FALSE,"toswan","male","bokchoy_large","tos","bokchoy_dimin","toswan","tospel","toswan","Female","test",27
"s1003",5,"spatial",FALSE,TRUE,"fenpel","female_side","bokchoy_large","fen","bokchoy_dimin","fenwan","fenpel","fenwan","Female","test",27
"s1003",6,"spatial",FALSE,TRUE,"fekwan","male","pitcher_large","fek","pitcher_dimin","fekwan","fekpel","fekpel","Female","test",27
"s1003",7,"spatial",FALSE,FALSE,"tospel","female_side","bokchoy_large","tos","bokchoy_dimin","toswan","tospel","toswan","Female","test",27
"s1003",8,"spatial",FALSE,TRUE,"rikwan","male","bear_large_male","rik","bear_dimin","rikwan","rikpel","rikpel","Female","test",27
"s1003",9,"spatial",TRUE,TRUE,"taswan","male","fox_large_male","tas","fox_dimin","taswan","taspel","taswan","Female","test",27
"s1003",10,"spatial",TRUE,TRUE,"fenpel","male_side","bokchoy_large","fen","bokchoy_dimin","fenwan","fenpel","fenpel","Female","test",27
"s1003",11,"spatial",FALSE,FALSE,"tospel","male_side","bokchoy_large","tos","bokchoy_dimin","toswan","tospel","toswan","Female","test",27
"s1003",12,"spatial",TRUE,TRUE,"rilwan","male","chair_large","ril","chair_dimin","rilwan","rilpel","rilwan","Female","test",27
"s1003",13,"spatial",FALSE,TRUE,"rikwan","female","bear_large_male","rik","bear_dimin","rikwan","rikpel","rikpel","Female","test",27
"s1003",14,"spatial",FALSE,TRUE,"fekwan","female","pitcher_large","fek","pitcher_dimin","fekwan","fekpel","fekpel","Female","test",27
"s1003",15,"spatial",FALSE,FALSE,"wunwan","male","gate_large","wun","gate_dimin","wunwan","wunpel","wunpel","Female","test",27
"s1003",16,"spatial",FALSE,TRUE,"falpel","male_side","candleholder_large","fal","candleholder_dimin","falwan","falpel","falwan","Female","test",27
"s1003",17,"spatial",TRUE,TRUE,"taspel","male_side","fox_large_male","tas","fox_dimin","taswan","taspel","taspel","Female","test",27
"s1003",18,"spatial",TRUE,FALSE,"rulwan","male","fox_large_male","rul","fox_dimin","rulwan","rulpel","rulwan","Female","test",27
"s1003",19,"spatial",FALSE,TRUE,"rikpel","female_side","bear_large_male","rik","bear_dimin","rikwan","rikpel","rikwan","Female","test",27
"s1003",20,"spatial",FALSE,FALSE,"wukpel","male_side","mushroom_large","wuk","mushroom_dimin","wukwan","wukpel","wukwan","Female","test",27
"s1003",21,"spatial",TRUE,FALSE,"rulpel","female_side","fox_large_male","rul","fox_dimin","rulwan","rulpel","rulpel","Female","test",27
"s1003",22,"spatial",TRUE,FALSE,"fispel","male_side","chair_large","fis","chair_dimin","fiswan","fispel","fispel","Female","test",27
"s1003",23,"spatial",TRUE,TRUE,"fenwan","female","bokchoy_large","fen","bokchoy_dimin","fenwan","fenpel","fenwan","Female","test",27
"s1003",24,"spatial",TRUE,FALSE,"tolwan","female","bear_large_male","tol","bear_dimin","tolwan","tolpel","tolwan","Female","test",27
"s1003",25,"spatial",TRUE,TRUE,"rilpel","male_side","chair_large","ril","chair_dimin","rilwan","rilpel","rilpel","Female","test",27
"s1003",26,"spatial",FALSE,FALSE,"rulwan","female","fox_large_male","rul","fox_dimin","rulwan","rulpel","rulpel","Female","test",27
"s1003",27,"spatial",FALSE,TRUE,"falwan","female","candleholder_large","fal","candleholder_dimin","falwan","falpel","falpel","Female","test",27
"s1003",28,"spatial",TRUE,TRUE,"falwan","male","candleholder_large","fal","candleholder_dimin","falwan","falpel","falwan","Female","test",27
"s1003",29,"spatial",TRUE,FALSE,"wukpel","female_side","mushroom_large","wuk","mushroom_dimin","wukwan","wukpel","wukpel","Female","test",27
"s1003",30,"spatial",FALSE,TRUE,"falpel","female_side","candleholder_large","fal","candleholder_dimin","falwan","falpel","falwan","Female","test",27
"s1003",31,"spatial",TRUE,FALSE,"wukwan","male","mushroom_large","wuk","mushroom_dimin","wukwan","wukpel","wukwan","Female","test",27
"s1003",32,"spatial",TRUE,FALSE,"fispel","female_side","chair_large","fis","chair_dimin","fiswan","fispel","fispel","Female","test",27
"s1003",33,"spatial",TRUE,TRUE,"taswan","female","fox_large_male","tas","fox_dimin","taswan","taspel","taswan","Female","test",27
"s1003",34,"spatial",TRUE,FALSE,"fiswan","male","chair_large","fis","chair_dimin","fiswan","fispel","fiswan","Female","test",27
"s1003",35,"spatial",FALSE,FALSE,"wunwan","female","gate_large","wun","gate_dimin","wunwan","wunpel","wunpel","Female","test",27
"s1003",36,"spatial",FALSE,TRUE,"fekpel","male_side","pitcher_large","fek","pitcher_dimin","fekwan","fekpel","fekwan","Female","test",27
"s1003",37,"spatial",FALSE,TRUE,"rilpel","female_side","chair_large","ril","chair_dimin","rilwan","rilpel","rilwan","Female","test",27
"s1003",38,"spatial",FALSE,TRUE,"fenwan","male","bokchoy_large","fen","bokchoy_dimin","fenwan","fenpel","fenpel","Female","test",27
"s1003",39,"spatial",FALSE,FALSE,"wukwan","female","mushroom_large","wuk","mushroom_dimin","wukwan","wukpel","wukpel","Female","test",27
"s1003",40,"spatial",TRUE,FALSE,"tolwan","male","bear_large_male","tol","bear_dimin","tolwan","tolpel","tolwan","Female","test",27
"s1003",41,"spatial",FALSE,TRUE,"taspel","female_side","fox_large_male","tas","fox_dimin","taswan","taspel","taswan","Female","test",27
"s1003",42,"spatial",TRUE,FALSE,"tolpel","male_side","bear_large_male","tol","bear_dimin","tolwan","tolpel","tolpel","Female","test",27
"s1003",43,"spatial",FALSE,FALSE,"wunpel","female_side","gate_large","wun","gate_dimin","wunwan","wunpel","wunwan","Female","test",27
"s1003",44,"spatial",FALSE,FALSE,"tolpel","female_side","bear_large_male","tol","bear_dimin","tolwan","tolpel","tolwan","Female","test",27
"s1003",45,"spatial",FALSE,TRUE,"rilwan","female","chair_large","ril","chair_dimin","rilwan","rilpel","rilpel","Female","test",27
"s1003",46,"spatial",TRUE,TRUE,"fekpel","female_side","pitcher_large","fek","pitcher_dimin","fekwan","fekpel","fekpel","Female","test",27
"s1003",47,"spatial",TRUE,FALSE,"rulpel","male_side","fox_large_male","rul","fox_dimin","rulwan","rulpel","rulpel","Female","test",27
"s1003",48,"spatial",TRUE,FALSE,"toswan","female","bokchoy_large","tos","bokchoy_dimin","toswan","tospel","toswan","Female","test",27
"s1005",1,"social",TRUE,FALSE,"rikwuk","female_side","candleholder_large","rik","candleholder_dimin","rikwuk","rikwan","rikwuk","Male","test",64
"s1005",2,"social",TRUE,FALSE,"falwuk","female_side","bear_large_male","fal","bear_dimin","falwuk","falwan","falwuk","Male","test",64
