"subject","trialNumber","condition","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","subject.gender","subject.age","phase"
"s1003",11,"nonsocial",FALSE,FALSE,"tospel","male_side","bokchoy_large","tos","bokchoy_dimin","toswan","tospel","toswan","Female",26,"test"
"s1003",12,"nonsocial",TRUE,TRUE,"rilwan","male","chair_large","ril","chair_dimin","rilwan","rilpel","rilwan","Female",26,"test"
"s1003",13,"nonsocial",FALSE,TRUE,"rikwan","female","bear_large_male","rik","bear_dimin","rikwan","rikpel","rikpel","Female",26,"test"
"s1003",14,"nonsocial",FALSE,TRUE,"fekwan","female","pitcher_large","fek","pitcher_dimin","fekwan","fekpel","fekpel","Female",26,"test"
"s1003",15,"nonsocial",FALSE,FALSE,"wunwan","male","gate_large","wun","gate_dimin","wunwan","wunpel","wunpel","Female",26,"test"
"s1003",16,"nonsocial",FALSE,TRUE,"falpel","male_side","candleholder_large","fal","candleholder_dimin","falwan","falpel","falwan","Female",26,"test"
"s1003",17,"nonsocial",TRUE,TRUE,"taspel","male_side","fox_large_male","tas","fox_dimin","taswan","taspel","taspel","Female",26,"test"
"s1003",18,"nonsocial",TRUE,FALSE,"rulwan","male","fox_large_male","rul","fox_dimin","rulwan","rulpel","rulwan","Female",26,"test"
"s1003",19,"nonsocial",FALSE,TRUE,"rikpel","female_side","bear_large_male","rik","bear_dimin","rikwan","rikpel","rikwan","Female",26,"test"
"s1003",20,"nonsocial",FALSE,FALSE,"wukpel","male_side","mushroom_large","wuk","mushroom_dimin","wukwan","wukpel","wukwan","Female",26,"test"
"s1003",21,"nonsocial",TRUE,FALSE,"rulpel","female_side","fox_large_male","rul","fox_dimin","rulwan","rulpel","rulpel","Female",26,"test"
"s1003",22,"nonsocial",TRUE,FALSE,"fispel","male_side","chair_large","fis","chair_dimin","fiswan","fispel","fispel","Female",26,"test"
"s1003",23,"nonsocial",TRUE,TRUE,"fenwan","female","bokchoy_large","fen","bokchoy_dimin","fenwan","fenpel","fenwan","Female",26,"test"
"s1003",24,"nonsocial",TRUE,FALSE,"tolwan","female","bear_large_male","tol","bear_dimin","tolwan","tolpel","tolwan","Female",26,"test"
"s1003",25,"nonsocial",TRUE,TRUE,"rilpel","male_side","chair_large","ril","chair_dimin","rilwan","rilpel","rilpel","Female",26,"test"
"s1003",26,"nonsocial",FALSE,FALSE,"rulwan","female","fox_large_male","rul","fox_dimin","rulwan","rulpel","rulpel","Female",26,"test"
"s1003",27,"nonsocial",FALSE,TRUE,"falwan","female","candleholder_large","fal","candleholder_dimin","falwan","falpel","falpel","Female",26,"test"
"s1003",28,"nonsocial",TRUE,TRUE,"falwan","male","candleholder_large","fal","candleholder_dimin","falwan","falpel","falwan","Female",26,"test"
"s1003",29,"nonsocial",TRUE,FALSE,"wukpel","female_side","mushroom_large","wuk","mushroom_dimin","wukwan","wukpel","wukpel","Female",26,"test"
"s1003",30,"nonsocial",FALSE,TRUE,"falpel","female_side","candleholder_large","fal","candleholder_dimin","falwan","falpel","falwan","Female",26,"test"
"s1003",31,"nonsocial",TRUE,FALSE,"wukwan","male","mushroom_large","wuk","mushroom_dimin","wukwan","wukpel","wukwan","Female",26,"test"
"s1003",32,"nonsocial",TRUE,FALSE,"fispel","female_side","chair_large","fis","chair_dimin","fiswan","fispel","fispel","Female",26,"test"
"s1003",33,"nonsocial",TRUE,TRUE,"taswan","female","fox_large_male","tas","fox_dimin","taswan","taspel","taswan","Female",26,"test"
"s1003",34,"nonsocial",TRUE,FALSE,"fiswan","male","chair_large","fis","chair_dimin","fiswan","fispel","fiswan","Female",26,"test"
"s1003",35,"nonsocial",FALSE,FALSE,"wunwan","female","gate_large","wun","gate_dimin","wunwan","wunpel","wunpel","Female",26,"test"
"s1003",36,"nonsocial",FALSE,TRUE,"fekpel","male_side","pitcher_large","fek","pitcher_dimin","fekwan","fekpel","fekwan","Female",26,"test"
"s1003",37,"nonsocial",FALSE,TRUE,"rilpel","female_side","chair_large","ril","chair_dimin","rilwan","rilpel","rilwan","Female",26,"test"
"s1003",38,"nonsocial",FALSE,TRUE,"fenwan","male","bokchoy_large","fen","bokchoy_dimin","fenwan","fenpel","fenpel","Female",26,"test"
"s1003",39,"nonsocial",FALSE,FALSE,"wukwan","female","mushroom_large","wuk","mushroom_dimin","wukwan","wukpel","wukpel","Female",26,"test"
"s1003",40,"nonsocial",TRUE,FALSE,"tolwan","male","bear_large_male","tol","bear_dimin","tolwan","tolpel","tolwan","Female",26,"test"
