"gender"	"yearOfBirth"	"phase"	"weak.past"	"strong.past"	"category"	"sensibility"	"partnerRegRate"	"partnerRegCondition"	"item.reg.mean"	"response"	"regular"	"participant"	"age"
"Female"	1983	"posttest"	"jeemed"	"jemt"	"kept"	"sensible"	0.481	"no.change"	0.723	"jeemed"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"preemed"	"premt"	"kept"	"sensible"	0.481	"no.change"	0.678	"premt"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"strinked"	"strank"	"sang"	"sensible"	0.481	"no.change"	0.416	"strank"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"thrimmed"	"thram"	"sang"	"sensible"	0.481	"no.change"	0.683	"thrimmed"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"gimmed"	"gam"	"sang"	"sensible"	0.481	"no.change"	0.728	"gam"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"prilled"	"prilt"	"burnt"	"sensible"	0.481	"no.change"	0.713	"prilled"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"swurned"	"swurnt"	"burnt"	"sensible"	0.481	"no.change"	0.723	"swurnt"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"dwilled"	"dwilt"	"burnt"	"sensible"	0.481	"no.change"	0.673	"dwilled"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"theeped"	"thept"	"kept"	"sensible"	0.481	"no.change"	0.416	"thept"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"vinked"	"vank"	"sang"	"sensible"	0.481	"no.change"	0.624	"vank"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"threlled"	"threlt"	"burnt"	"sensible"	0.481	"no.change"	0.653	"threlt"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"strited"	"strote"	"drove"	"sensible"	0.481	"no.change"	0.426	"strited"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"splinged"	"splang"	"sang"	"sensible"	0.481	"no.change"	0.401	"splinged"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"vurned"	"vurnt"	"burnt"	"sensible"	0.481	"no.change"	0.668	"vurned"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"klited"	"klote"	"drove"	"sensible"	0.481	"no.change"	0.554	"klote"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"greemed"	"gremt"	"kept"	"sensible"	0.481	"no.change"	0.629	"gremt"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"pleeled"	"plelt"	"kept"	"sensible"	0.481	"no.change"	0.574	"pleeled"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"skrined"	"skrone"	"drove"	"sensible"	0.481	"no.change"	0.599	"skrone"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"glinked"	"glank"	"sang"	"sensible"	0.481	"no.change"	0.609	"glank"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"skeened"	"skent"	"kept"	"sensible"	0.481	"no.change"	0.688	"skeened"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"skrurned"	"skrurnt"	"burnt"	"sensible"	0.481	"no.change"	0.668	"skrurned"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"splided"	"splode"	"drove"	"sensible"	0.481	"no.change"	0.475	"splided"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"squeeped"	"squept"	"kept"	"sensible"	0.481	"no.change"	0.52	"squept"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"dreeped"	"drept"	"kept"	"sensible"	0.481	"no.change"	0.441	"drept"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"slined"	"slone"	"drove"	"sensible"	0.481	"no.change"	0.614	"slone"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"slurned"	"slurnt"	"burnt"	"sensible"	0.481	"no.change"	0.698	"slurnt"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"squided"	"squode"	"drove"	"sensible"	0.481	"no.change"	0.406	"squided"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"sninked"	"snank"	"sang"	"sensible"	0.481	"no.change"	0.421	"sninked"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"beeved"	"bove"	"drove"	"sensible"	0.481	"no.change"	0.574	"bove"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"trinked"	"trank"	"sang"	"sensible"	0.481	"no.change"	0.49	"trank"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"kreened"	"krent"	"kept"	"sensible"	0.481	"no.change"	0.683	"krent"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"squined"	"squone"	"drove"	"sensible"	0.481	"no.change"	0.678	"squone"	FALSE	"s6024"	31
