"participant","trialNumber","cue","correct","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","partic.gender","phase","partic.age"
"s1002",54,"spatial",TRUE,"tolwan","female","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolwan","Female","training",54
"s1002",55,"spatial",TRUE,"tasrul","male_side","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","training",54
"s1002",56,"spatial",FALSE,"taswan","male","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","training",54
"s1002",57,"spatial",TRUE,"tasrul","male_side","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","training",54
"s1002",58,"spatial",TRUE,"taswan","male","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female","training",54
"s1002",59,"spatial",TRUE,"toswan","female","chair_large","tos","chair_dimin","toswan","tosrul","toswan","Female","training",54
"s1002",60,"spatial",TRUE,"pelwan","male","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","training",54
"s1002",61,"spatial",FALSE,"rikwan","female","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female","training",54
"s1002",62,"spatial",TRUE,"pelwan","male","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","training",54
"s1002",63,"spatial",TRUE,"rikwan","female","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikwan","Female","training",54
"s1002",64,"spatial",FALSE,"tasrul","female_side","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female","training",54
"s1002",65,"spatial",FALSE,"rikwan","female","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female","training",54
"s1002",66,"spatial",TRUE,"pelwan","male","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","training",54
"s1002",67,"spatial",TRUE,"rikwan","female","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikwan","Female","training",54
"s1002",68,"spatial",FALSE,"tasrul","female_side","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female","training",54
"s1002",69,"spatial",TRUE,"rikwan","female","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikwan","Female","training",54
"s1002",70,"spatial",TRUE,"tasrul","female_side","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","training",54
"s1002",71,"spatial",TRUE,"toswan","male","chair_large","tos","chair_dimin","toswan","tosrul","toswan","Female","training",54
"s1002",72,"spatial",TRUE,"rikwan","male","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikwan","Female","training",54
"s1002",73,"spatial",TRUE,"tolrul","female_side","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolrul","Female","training",54
"s1002",74,"spatial",TRUE,"rikrul","female_side","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female","training",54
"s1003",1,"spatial",TRUE,"rikwan","male","bear_large_male","rik","bear_dimin","rikwan","rikpel","rikwan","Female","training",27
"s1003",2,"spatial",FALSE,"fekwan","female","pitcher_large","fek","pitcher_dimin","fekwan","fekpel","fekpel","Female","training",27
"s1003",3,"spatial",TRUE,"rikwan","male","bear_large_male","rik","bear_dimin","rikwan","rikpel","rikwan","Female","training",27
"s1003",4,"spatial",FALSE,"fekwan","female","pitcher_large","fek","pitcher_dimin","fekwan","fekpel","fekpel","Female","training",27
"s1003",5,"spatial",TRUE,"rikwan","male","bear_large_male","rik","bear_dimin","rikwan","rikpel","rikwan","Female","training",27
