"gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular","participant"
"Male",1985,"posttest","sprided","sprode","drove","sensible",0.269,"decrease",0.347,"sprided",TRUE,"s6111"
"Male",1985,"posttest","splinged","splang","sang","sensible",0.269,"decrease",0.401,"splang",FALSE,"s6111"
"Male",1985,"posttest","skurned","skurnt","burnt","sensible",0.269,"decrease",0.733,"skurnt",FALSE,"s6111"
"Male",1975,"pretest","shrided","shrode","drove","random",0.731,"increase",0.376,"shrode",FALSE,"s6165"
"Male",1975,"pretest","grinked","grank","sang","random",0.731,"increase",0.47,"grank",FALSE,"s6165"
"Male",1975,"pretest","preemed","premt","kept","random",0.731,"increase",0.678,"preemed",TRUE,"s6165"
"Male",1975,"pretest","trurned","trurnt","burnt","random",0.731,"increase",0.718,"trurned",TRUE,"s6165"
"Male",1975,"pretest","glined","glone","drove","random",0.731,"increase",0.619,"glined",TRUE,"s6165"
"Male",1975,"pretest","sleeled","slelt","kept","random",0.731,"increase",0.55,"slelt",FALSE,"s6165"
"Male",1975,"pretest","sminked","smank","sang","random",0.731,"increase",0.579,"sminked",TRUE,"s6165"
"Male",1975,"pretest","splinged","splang","sang","random",0.731,"increase",0.401,"splang",FALSE,"s6165"
"Male",1975,"pretest","skrurned","skrurnt","burnt","random",0.731,"increase",0.668,"skrurned",TRUE,"s6165"
"Male",1975,"pretest","strinked","strank","sang","random",0.731,"increase",0.416,"strank",FALSE,"s6165"
"Male",1975,"pretest","fleeled","flelt","kept","random",0.731,"increase",0.525,"flelt",FALSE,"s6165"
"Male",1975,"pretest","klided","klode","drove","random",0.731,"increase",0.495,"klode",FALSE,"s6165"
"Male",1975,"pretest","dwinged","dwang","sang","random",0.731,"increase",0.485,"dwang",FALSE,"s6165"
"Male",1975,"pretest","dwided","dwode","drove","random",0.731,"increase",0.416,"dwode",FALSE,"s6165"
"Male",1975,"pretest","twinked","twank","sang","random",0.731,"increase",0.594,"twank",FALSE,"s6165"
"Male",1975,"pretest","gimmed","gam","sang","random",0.731,"increase",0.728,"gam",FALSE,"s6165"
"Male",1975,"pretest","skurned","skurnt","burnt","random",0.731,"increase",0.733,"skurnt",FALSE,"s6165"
"Male",1975,"pretest","cheemed","chemt","kept","random",0.731,"increase",0.733,"cheemed",TRUE,"s6165"
"Male",1975,"pretest","spreemed","spremt","kept","random",0.731,"increase",0.639,"spreemed",TRUE,"s6165"
"Male",1975,"pretest","squined","squone","drove","random",0.731,"increase",0.678,"squone",FALSE,"s6165"
"Male",1975,"pretest","thided","thode","drove","random",0.731,"increase",0.436,"thode",FALSE,"s6165"
"Male",1975,"pretest","skeeped","skept","kept","random",0.731,"increase",0.485,"skept",FALSE,"s6165"
"Male",1975,"pretest","murned","murnt","burnt","random",0.731,"increase",0.723,"murned",TRUE,"s6165"
"Male",1975,"pretest","shreened","shrent","kept","random",0.731,"increase",0.693,"shreened",TRUE,"s6165"
"Male",1975,"pretest","zelled","zelt","burnt","random",0.731,"increase",0.639,"zelt",FALSE,"s6165"
"Male",1975,"pretest","snined","snone","drove","random",0.731,"increase",0.644,"snone",FALSE,"s6165"
