participant,gender,yearOfBirth,phase,weak.past,strong.past,category,partner.prefs,partnerRegRate,partnerRegCondition,item.baseline.reg,response,regular,pretest.mean,age
s6024,Female,1983,posttest,prurned,prurnt,burnt,match.baseline,0.481,no.change,0.688,prurned,TRUE,0.480769231,32
s6024,Female,1983,posttest,dwimmed,dwam,sang,match.baseline,0.481,no.change,0.515,dwam,FALSE,0.480769231,32
s6024,Female,1983,posttest,pringed,prang,sang,match.baseline,0.481,no.change,0.465,prang,FALSE,0.480769231,32
s6024,Female,1983,posttest,pited,pote,drove,match.baseline,0.481,no.change,0.629,pited,TRUE,0.480769231,32
s6024,Female,1983,posttest,skinged,skang,sang,match.baseline,0.481,no.change,0.52,skinged,TRUE,0.480769231,32
s6024,Female,1983,pretest,trurned,trurnt,burnt,match.baseline,0.481,no.change,0.718,trurnt,FALSE,0.480769231,32
s6024,Female,1983,pretest,sprided,sprode,drove,match.baseline,0.481,no.change,0.347,sprode,FALSE,0.480769231,32
s6024,Female,1983,posttest,chited,chote,drove,match.baseline,0.481,no.change,0.579,chited,TRUE,0.480769231,32
s6024,Female,1983,pretest,twinked,twank,sang,match.baseline,0.481,no.change,0.594,twinked,TRUE,0.480769231,32
s6024,Female,1983,posttest,twited,twote,drove,match.baseline,0.481,no.change,0.446,twote,FALSE,0.480769231,32
s6024,Female,1983,pretest,grinked,grank,sang,match.baseline,0.481,no.change,0.47,grank,FALSE,0.480769231,32
s6024,Female,1983,posttest,theeled,thelt,kept,match.baseline,0.481,no.change,0.495,theeled,TRUE,0.480769231,32
s6024,Female,1983,posttest,smimmed,smam,sang,match.baseline,0.481,no.change,0.579,smimmed,TRUE,0.480769231,32
s6024,Female,1983,posttest,squeened,squent,kept,match.baseline,0.481,no.change,0.629,squent,FALSE,0.480769231,32
s6024,Female,1983,pretest,murned,murnt,burnt,match.baseline,0.481,no.change,0.723,murned,TRUE,0.480769231,32
s6024,Female,1983,pretest,glined,glone,drove,match.baseline,0.481,no.change,0.619,glone,FALSE,0.480769231,32
s6025,Female,1981,posttest,jined,jone,drove,match.baseline,0.385,no.change,0.658,jined,TRUE,0.384615385,34
s6025,Female,1981,pretest,preemed,premt,kept,match.baseline,0.385,no.change,0.678,preemed,TRUE,0.384615385,34
s6025,Female,1981,posttest,quided,quode,drove,match.baseline,0.385,no.change,0.47,quode,FALSE,0.384615385,34
s6025,Female,1981,pretest,fided,fode,drove,match.baseline,0.385,no.change,0.485,fode,FALSE,0.384615385,34
s6025,Female,1981,pretest,drelled,drelt,burnt,match.baseline,0.385,no.change,0.653,drelt,FALSE,0.384615385,34
s6025,Female,1981,pretest,prilled,prilt,burnt,match.baseline,0.385,no.change,0.713,prilled,TRUE,0.384615385,34
s6025,Female,1981,posttest,greeled,grelt,kept,match.baseline,0.385,no.change,0.562,greeled,TRUE,0.384615385,34
s6025,Female,1981,pretest,vrinked,vrank,sang,match.baseline,0.385,no.change,0.515,vrank,FALSE,0.384615385,34
s6025,Female,1981,posttest,smilled,smilt,burnt,match.baseline,0.385,no.change,0.668,smilled,TRUE,0.384615385,34
s6025,Female,1981,posttest,vrited,vrote,drove,match.baseline,0.385,no.change,0.366,vrote,FALSE,0.384615385,34
s6025,Female,1981,posttest,yilled,yilt,burnt,match.baseline,0.385,no.change,0.718,yilled,TRUE,0.384615385,34
s6025,Female,1981,posttest,zeeped,zept,kept,match.baseline,0.385,no.change,0.441,zept,FALSE,0.384615385,34
s6025,Female,1981,posttest,splinked,splank,sang,match.baseline,0.385,no.change,0.49,splank,FALSE,0.384615385,34
s6025,Female,1981,posttest,glinged,glang,sang,match.baseline,0.385,no.change,0.584,glang,FALSE,0.384615385,34
s6025,Female,1981,posttest,sneened,snent,kept,match.baseline,0.385,no.change,0.698,snent,FALSE,0.384615385,34
s6025,Female,1981,posttest,gringed,grang,sang,match.baseline,0.385,no.change,0.515,grang,FALSE,0.384615385,34
s6025,Female,1981,pretest,surned,surnt,burnt,match.baseline,0.385,no.change,0.698,surned,TRUE,0.384615385,34
s6025,Female,1981,pretest,gimmed,gam,sang,match.baseline,0.385,no.change,0.728,gimmed,TRUE,0.384615385,34
