"poundGuesses"	"kgGuesses"
720	326.679
720	326.679
720	326.679
721	327.132
721	327.132
721	327.132
721	327.132
721	327.132
721	327.132
721	327.132
721	327.132
722	327.586
722	327.586
722	327.586
722	327.586
722	327.586
722	327.586
722	327.586
723	328.04
723	328.04
723	328.04
723	328.04
723	328.04
723	328.04
723	328.04
723	328.04
723	328.04
723	328.04
723	328.04
723	328.04
723	328.04
724	328.494
724	328.494
724	328.494
724	328.494
724	328.494
724	328.494
724	328.494
724.2954	328.628
724.2954	328.628
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
725	328.947
726	329.401
726	329.401
726.4	329.583
727	329.855
727	329.855
727	329.855
727	329.855
727	329.855
728	330.309
728	330.309
728	330.309
728	330.309
728	330.309
728.4	330.49
729	330.762
729	330.762
729	330.762
729	330.762
729	330.762
729	330.762
730	331.216
730	331.216
730	331.216
731	331.67
731	331.67
731	331.67
731	331.67
731	331.67
732	332.123
732	332.123
732	332.123
732	332.123
732	332.123
732	332.123
732	332.123
732	332.123
732	332.123
732	332.123
732	332.123
733	332.577
733	332.577
733	332.577
734	333.031
734	333.031
734	333.031
734	333.031
734	333.031
734	333.031
734	333.031
734	333.031
734	333.031
734.6	333.303
735	333.485
735	333.485
735	333.485
735	333.485
735	333.485
735	333.485
735	333.485
735	333.485
735	333.485
735	333.485
735	333.485
735	333.485
735	333.485
735	333.485
736	333.938
736	333.938
736	333.938
737	334.392
737	334.392
737	334.392
737	334.392
738	334.846
738	334.846
738	334.846
738	334.846
738	334.846
738	334.846
739	335.299
740	335.753
740	335.753
740	335.753
740	335.753
740	335.753
740	335.753
740	335.753
741	336.207
741	336.207
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742	336.661
742.5	336.887
742.5	336.887
743	337.114
743	337.114
743	337.114
743	337.114
743	337.114
743	337.114
743	337.114
743	337.114
744	337.568
744	337.568
744.5	337.795
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
745	338.022
746	338.475
746	338.475
746	338.475
746	338.475
746	338.475
746	338.475
746	338.475
747	338.929
747	338.929
747	338.929
748	339.383
748	339.383
748	339.383
748	339.383
748	339.383
748	339.383
748	339.383
748	339.383
748	339.383
749	339.837
749	339.837
749	339.837
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
750	340.29
