"subject","condition","correct","correctAnswer","experiment","subj.gender","interlocutor","inTraining","phase","promptImage","promptName","selection","targetImage","targetWord1","targetWord2","subj.yob","subject.age","trialNumber"
"s1385","linguistic",TRUE,"fanpak","exp1","Male","male",TRUE,"training","fox_large_male","fan","fanpak","fox_dimin","fanpek","fanpak",1978,36,46
"s1385","linguistic",TRUE,"fekpek","exp1","Male","female",TRUE,"training","gate_large","fek","fekpek","gate_dimin","fekpek","fekpak",1978,36,47
"s1385","linguistic",TRUE,"fanpak","exp1","Male","female_side",TRUE,"training","fox_large_male","fan","fanpak","fox_dimin","fanpek","fanpak",1978,36,48
"s1391","linguistic",FALSE,"fanpak","exp1","Male","male",TRUE,"training","chair_large","fan","fanpek","chair_dimin","fanpek","fanpak",1987,27,1
"s1391","linguistic",TRUE,"fanpak","exp1","Male","male",TRUE,"training","chair_large","fan","fanpak","chair_dimin","fanpek","fanpak",1987,27,2
"s1391","linguistic",TRUE,"fanpak","exp1","Male","female",TRUE,"training","chair_large","fan","fanpak","chair_dimin","fanpek","fanpak",1987,27,3
"s1391","linguistic",TRUE,"tekpek","exp1","Male","female_side",TRUE,"training","bokchoy_large","tek","tekpek","bokchoy_dimin","tekpek","tekpak",1987,27,4
"s1391","linguistic",FALSE,"falpak","exp1","Male","male_side",TRUE,"training","bokchoy_large","fal","falpek","bokchoy_dimin","falpek","falpak",1987,27,5
"s1391","linguistic",FALSE,"tekpek","exp1","Male","female_side",TRUE,"training","bokchoy_large","tek","tekpak","bokchoy_dimin","tekpek","tekpak",1987,27,6
"s1391","linguistic",FALSE,"fanpak","exp1","Male","female",TRUE,"training","chair_large","fan","fanpek","chair_dimin","fanpek","fanpak",1987,27,7
"s1391","linguistic",FALSE,"fanpak","exp1","Male","male",TRUE,"training","chair_large","fan","fanpek","chair_dimin","fanpek","fanpak",1987,27,8
"s1391","linguistic",TRUE,"fanpak","exp1","Male","male",TRUE,"training","chair_large","fan","fanpak","chair_dimin","fanpek","fanpak",1987,27,9
"s1391","linguistic",TRUE,"fanpak","exp1","Male","female",TRUE,"training","chair_large","fan","fanpak","chair_dimin","fanpek","fanpak",1987,27,10
"s1391","linguistic",FALSE,"tekpek","exp1","Male","female_side",TRUE,"training","bokchoy_large","tek","tekpak","bokchoy_dimin","tekpek","tekpak",1987,27,11
"s1391","linguistic",TRUE,"fanpak","exp1","Male","female",TRUE,"training","chair_large","fan","fanpak","chair_dimin","fanpek","fanpak",1987,27,12
"s1391","linguistic",TRUE,"tekpek","exp1","Male","female_side",TRUE,"training","bokchoy_large","tek","tekpek","bokchoy_dimin","tekpek","tekpak",1987,27,13
"s1391","linguistic",TRUE,"falpak","exp1","Male","male_side",TRUE,"training","bokchoy_large","fal","falpak","bokchoy_dimin","falpek","falpak",1987,27,14
"s1391","linguistic",TRUE,"fekpek","exp1","Male","male",TRUE,"training","pitcher_large","fek","fekpek","pitcher_dimin","fekpek","fekpak",1987,27,15
"s1391","linguistic",FALSE,"falpak","exp1","Male","female",TRUE,"training","bokchoy_large","fal","falpek","bokchoy_dimin","falpek","falpak",1987,27,16
"s1391","linguistic",FALSE,"fekpek","exp1","Male","male",TRUE,"training","pitcher_large","fek","fekpak","pitcher_dimin","fekpek","fekpak",1987,27,17
"s1391","linguistic",FALSE,"falpak","exp1","Male","male_side",TRUE,"training","bokchoy_large","fal","falpek","bokchoy_dimin","falpek","falpak",1987,27,18
